Nov-89,Breaking & Entering,12/1/13 19:30,500 Block CENTRAL AV,Menlo Park Police Department,12/1/13,19:30
7-Nov,Theft,12/3/13 0:00,300 Block OLIVE ST,Menlo Park Police Department,12/3/13,0:00
9-Nov,Assault,12/3/13 12:15,1800 Block DORIS DR,Menlo Park Police Department,12/3/13,12:15
11-Nov,Theft,12/3/13 13:12,700 Block GILBERT AV,Menlo Park Police Department,12/3/13,13:12
13-Nov,Theft,12/3/13 21:30,500 Block HERMOSA WY,Menlo Park Police Department,12/3/13,21:30
Nov-33,Theft from Vehicle,12/4/13 15:15,1200 Block MIDDLE AV,Menlo Park Police Department,12/4/13,15:15
30-Nov,Theft,12/4/13 23:45,800 Block PAULSON CIRCLE,Menlo Park Police Department,12/4/13,23:45
Nov-52,Theft,12/6/13 10:00,600 Block SANTA CRUZ AV,Menlo Park Police Department,12/6/13,10:00
Nov-68,Breaking & Entering,12/8/13 13:30,600 Block CAMBRIDGE AV,Menlo Park Police Department,12/8/13,13:30
Nov-73,Breaking & Entering,12/9/13 8:20,600 Block OAK GROVE AV,Menlo Park Police Department,12/9/13,8:20
Nov-83,Breaking & Entering,12/9/13 11:00,300 Block OAK GROVE AV,Menlo Park Police Department,12/9/13,11:00
Nov-79,Breaking & Entering,12/9/13 12:00,300 Block POPE ST,Menlo Park Police Department,12/9/13,12:00
Nov-77,Breaking & Entering,12/9/13 12:50,1100 Block MARCUSSEN DR,Menlo Park Police Department,12/9/13,12:50
Nov-80,Theft,12/9/13 15:00,1100 Block ELDER AV,Menlo Park Police Department,12/9/13,15:00
13-Nov,Theft,12/12/13 23:00,100 Block OCONNOR ST,Menlo Park Police Department,12/12/13,23:00
29-Nov,Theft,12/14/13 17:57,300 Block SHARON PARK DR,Menlo Park Police Department,12/14/13,17:57
Nov-36,Breaking & Entering,12/15/13 17:00,1200 Block ARBOR RD,Menlo Park Police Department,12/15/13,17:00
Nov-35,Theft,12/15/13 21:00,900 Block HOBART ST,Menlo Park Police Department,12/15/13,21:00
Nov-59,Theft,12/16/13 20:28,600 Block MENLO AV,Menlo Park Police Department,12/16/13,20:28
Nov-62,Assault,12/17/13 9:45,400 Block POPE ST,Menlo Park Police Department,12/17/13,9:45
