S133480195,Theft from Vehicle,12/14/13 14:39,MUSEUM WAY,Santa Clara County Sheriff's Office,12/14/13,14:39
S133490215,Assault,12/15/13 14:49,1 Block BLOCK PASTEUR DR,Santa Clara County Sheriff's Office,12/15/13,14:49
S133500284,Theft,12/16/13 16:05,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,12/16/13,16:05
S133510017,Theft,12/17/13 1:12,300 Block OAK RD,Santa Clara County Sheriff's Office,12/17/13,1:12
S133520210,Breaking & Entering,12/18/13 13:31,500 Block LASUEN ST,Santa Clara County Sheriff's Office,12/18/13,13:31
S133520453,Breaking & Entering,12/18/13 22:46,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,12/18/13,22:46
S133530136,Theft,12/19/13 11:00,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,12/19/13,11:00
S133530236,Theft,12/19/13 15:30,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,12/19/13,15:30
S133540241,Theft,12/20/13 16:22,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,12/20/13,16:22
S140320220,Theft,2/1/14 13:21,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,2/1/14,13:21
S140330200,Theft,2/2/14 13:24,700 Block ESCONDIDO RD,Santa Clara County Sheriff's Office,2/2/14,13:24
S140340245,Theft,2/3/14 13:13,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,2/3/14,13:13
S140340321,Theft,2/3/14 15:34,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,2/3/14,15:34
S140340452,Theft,2/3/14 21:55,400 Block LOMITA MALL,Santa Clara County Sheriff's Office,2/3/14,21:55
S140350470,Theft of Vehicle,2/4/14 19:35,600 Block CAMPUS DR,Santa Clara County Sheriff's Office,2/4/14,19:35
S140350513,Breaking & Entering,2/4/14 21:10,1 Block HOSKINS CT,Santa Clara County Sheriff's Office,2/4/14,21:10
S140350514,Breaking & Entering,2/4/14 21:10,1 Block OLMSTED RD,Santa Clara County Sheriff's Office,2/4/14,21:10
S140360302,Theft,2/5/14 14:09,600 Block CROTHERS WAY,Santa Clara County Sheriff's Office,2/5/14,14:09
S140360406,Theft,2/5/14 16:26,0 BLOCK PALM DR,Santa Clara County Sheriff's Office,2/5/14,16:26
S140360442,Theft,2/5/14 17:28,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,2/5/14,17:28
S140370033,Vehicle Recovery,2/6/14 4:15,LASUEN ST,Santa Clara County Sheriff's Office,2/6/14,4:15
S140370060,Theft,2/6/14 8:16,600 Block SERRA ST,Santa Clara County Sheriff's Office,2/6/14,8:16
S140370177,Theft,2/6/14 11:38,500 Block ESCONDIDO RD,Santa Clara County Sheriff's Office,2/6/14,11:38
S140390243,Breaking & Entering,2/8/14 15:46,500 Block LASUEN MALL,Santa Clara County Sheriff's Office,2/8/14,15:46
S140410247,Theft,2/10/14 13:56,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,2/10/14,13:56
S140410479,Breaking & Entering,2/10/14 23:50,1 Block DUDLEY LN,Santa Clara County Sheriff's Office,2/10/14,23:50
S140420345,Theft,2/11/14 16:12,600 Block ESCONDIDO RD,Santa Clara County Sheriff's Office,2/11/14,16:12
S140430349,Theft,2/12/14 16:17,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,2/12/14,16:17
S140440016,Breaking & Entering,2/13/14 1:13,200 Block AYRSHIRE FARM LN,Santa Clara County Sheriff's Office,2/13/14,1:13
S140440145,Breaking & Entering,2/13/14 11:07,1 Block HULME CT,Santa Clara County Sheriff's Office,2/13/14,11:07
S140060092,Theft,1/6/14 9:28,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/6/14,9:28
S140060093,Theft,1/6/14 9:28,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/6/14,9:28
S140060219,Theft,1/6/14 13:51,500 Block LASUEN MALL,Santa Clara County Sheriff's Office,1/6/14,13:51
S140060234,Breaking & Entering,1/6/14 14:27,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/6/14,14:27
S140060236,Breaking & Entering,1/6/14 14:28,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/6/14,14:28
S140070378,Theft of Vehicle,1/7/14 16:41,200 Block PANAMA ST,Santa Clara County Sheriff's Office,1/7/14,16:41
S140070384,Theft,1/7/14 16:50,500 Block ESCONDIDO RD,Santa Clara County Sheriff's Office,1/7/14,16:50
S140080263,Breaking & Entering,1/8/14 13:27,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/8/14,13:27
S140080264,Breaking & Entering,1/8/14 13:28,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/8/14,13:28
S140080274,Theft,1/8/14 13:46,500 Block ESCONDIDO RD,Santa Clara County Sheriff's Office,1/8/14,13:46
S140080289,Theft,1/8/14 14:07,0 BLOCK PALM DR,Santa Clara County Sheriff's Office,1/8/14,14:07
S140090111,Theft,1/9/14 9:47,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/9/14,9:47
S140090377,Theft,1/9/14 16:20,1 Block DUDLEY LN,Santa Clara County Sheriff's Office,1/9/14,16:20
S140100017,Theft,1/10/14 1:08,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/10/14,1:08
S140100273,Theft of Vehicle,1/10/14 15:42,0 BLOCK PALM DR,Santa Clara County Sheriff's Office,1/10/14,15:42
S140100392,Theft,1/10/14 19:56,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/10/14,19:56
S140110041,Vehicle Recovery,1/11/14 4:42,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/11/14,4:42
S140130406,Breaking & Entering,1/13/14 19:35,600 Block KNIGHT WAY,Santa Clara County Sheriff's Office,1/13/14,19:35
S140140187,Theft,1/14/14 11:45,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/14/14,11:45
S140140193,Theft,1/14/14 11:54,500 Block LASUEN ST,Santa Clara County Sheriff's Office,1/14/14,11:54
S140140308,Theft of Vehicle,1/14/14 15:38,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/14/14,15:38
S140150235,Theft,1/15/14 12:40,500 Block LASUEN ST,Santa Clara County Sheriff's Office,1/15/14,12:40
S140150329,Theft,1/15/14 15:23,1 Block ANGELL CT,Santa Clara County Sheriff's Office,1/15/14,15:23
S140160068,Breaking & Entering,1/16/14 7:23,300 Block GALVEZ ST,Santa Clara County Sheriff's Office,1/16/14,7:23
S140160345,Theft,1/16/14 15:41,600 Block ESCONDIDO RD,Santa Clara County Sheriff's Office,1/16/14,15:41
S140190179,Theft from Vehicle,1/19/14 13:58,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/19/14,13:58
S140190323,Breaking & Entering,1/19/14 20:50,500 Block LASUEN MALL,Santa Clara County Sheriff's Office,1/19/14,20:50
S140200049,Theft from Vehicle,1/20/14 5:54,0 BLOCK PALM DR,Santa Clara County Sheriff's Office,1/20/14,5:54
S140210301,Theft,1/21/14 13:40,600 Block ESCONDIDO RD,Santa Clara County Sheriff's Office,1/21/14,13:40
S140210487,Theft,1/21/14 19:23,500 Block LASUEN ST,Santa Clara County Sheriff's Office,1/21/14,19:23
S140220279,Theft,1/22/14 12:57,500 Block LASUEN MALL,Santa Clara County Sheriff's Office,1/22/14,12:57
S140250042,Theft,1/25/14 4:11,300 Block SANTA TERESA ST,Santa Clara County Sheriff's Office,1/25/14,4:11
S140250312,Theft,1/25/14 19:11,200 Block AYRSHIRE FARM LN,Santa Clara County Sheriff's Office,1/25/14,19:11
S140270001,Theft,1/27/14 0:00,300 Block GALVEZ ST,Santa Clara County Sheriff's Office,1/27/14,0:00
S140270209,Theft,1/27/14 13:13,500 Block LASUEN ST,Santa Clara County Sheriff's Office,1/27/14,13:13
